timestamp,test_distance,target_id,x_mm,y_mm,z_mm
1777584773.933155,0.5m,0,-143,36,686
1777584773.984818,0.5m,0,-144,36,687
1777584774.04097,0.5m,0,-143,36,685
1777584774.093626,0.5m,0,-142,36,686
1777584774.146431,0.5m,0,-141,36,684
1777584774.199923,0.5m,0,-143,36,685
1777584774.255423,0.5m,0,-141,36,684
1777584774.3112152,0.5m,0,-141,36,685
1777584774.359117,0.5m,0,-142,36,684
1777584774.413475,0.5m,0,-142,36,684
1777584774.468322,0.5m,0,-145,36,683
1777584774.524756,0.5m,0,-142,36,683
1777584774.578047,0.5m,0,-141,36,684
1777584774.6253388,0.5m,0,-142,36,683
1777584774.684326,0.5m,0,-143,36,684
1777584774.741537,0.5m,0,-142,36,683
1777584774.79103,0.5m,0,-139,36,683
1777584774.846604,0.5m,0,-142,36,682
1777584774.899203,0.5m,0,-141,36,685
1777584774.951763,0.5m,0,-142,36,684
1777584775.006977,0.5m,0,-141,36,682
1777584775.059201,0.5m,0,-144,36,683
1777584775.112287,0.5m,0,-146,36,684
1777584775.166784,0.5m,0,-140,35,680
1777584775.222338,0.5m,0,-143,36,682
1777584775.27897,0.5m,0,-141,36,683
1777584775.32592,0.5m,0,-143,36,683
1777584775.38127,0.5m,0,-142,36,683
1777584775.433981,0.5m,0,-142,36,683
1777584775.490635,0.5m,0,-141,36,683
1777584775.546562,0.5m,0,-144,36,684
1777584775.59393,0.5m,0,-139,36,683
1777584775.6496918,0.5m,0,-143,36,683
1777584775.701952,0.5m,0,-142,36,682
1777584775.757418,0.5m,0,-143,36,682
1777584775.812104,0.5m,0,-141,35,679
1777584775.8605142,0.5m,0,-140,35,681
1777584775.919712,0.5m,0,-140,35,683
1777584775.9708061,0.5m,0,-143,35,682
1777584776.02426,0.5m,0,-142,35,680
1777584776.079013,0.5m,0,-143,36,683
1777584776.129877,0.5m,0,-143,36,683
1777584776.185218,0.5m,0,-142,35,681
1777584776.2515929,0.5m,0,-141,34,679
1777584776.29374,0.5m,0,-142,36,683
1777584776.346664,0.5m,0,-142,34,680
1777584776.407134,0.5m,0,-141,35,677
1777584776.456974,0.5m,0,-140,35,677
1777584776.513495,0.5m,0,-140,34,680
1777584776.561706,0.5m,0,-141,34,680
1777584776.618376,0.5m,0,-142,35,681
1777584776.677453,0.5m,0,-142,35,682
1777584776.723658,0.5m,0,-141,34,680
1777584776.77735,0.5m,0,-142,34,677
1777584776.8335192,0.5m,0,-139,35,678
1777584776.887236,0.5m,0,-141,35,678
1777584776.940537,0.5m,0,-138,34,677
1777584776.992797,0.5m,0,-139,34,678
1777584777.045393,0.5m,0,-142,34,678
1777584777.099277,0.5m,0,-142,34,678
1777584777.1531038,0.5m,0,-141,35,681
1777584777.211467,0.5m,0,-140,34,675
1777584777.260128,0.5m,0,-141,34,677
1777584777.3143559,0.5m,0,-140,34,681
1777584777.368305,0.5m,0,-138,34,678
1777584777.42418,0.5m,0,-140,34,681
1777584777.479261,0.5m,0,-140,34,679
1777584777.5271418,0.5m,0,-140,33,676
1777584777.584167,0.5m,0,-140,33,677
1777584777.634658,0.5m,0,-140,33,677
1777584777.689888,0.5m,0,-137,34,678
1777584777.746012,0.5m,0,-139,33,676
1777584777.796691,0.5m,0,-138,33,678
1777584777.85054,0.5m,0,-139,34,679
1777584777.9076228,0.5m,0,-137,33,674
1777584777.957373,0.5m,0,-138,34,677
1777584778.010447,0.5m,0,-139,33,677
1777584778.066829,0.5m,0,-137,34,677
1777584778.120429,0.5m,0,-138,34,677
1777584778.1727319,0.5m,0,-139,33,677
1777584778.224009,0.5m,0,-139,33,677
1777584778.278272,0.5m,0,-138,34,677
1777584778.332188,0.5m,0,-138,34,676
1777584778.384247,0.5m,0,-138,34,678
1777584778.439453,0.5m,0,-139,34,678
1777584778.492364,0.5m,0,-140,35,677
1777584778.546578,0.5m,0,-138,35,679
1777584778.5984042,0.5m,0,-138,35,677
1777584778.652034,0.5m,0,-139,35,677
1777584778.709323,0.5m,0,-138,35,677
1777584778.759792,0.5m,0,-139,34,678
1777584778.8125288,0.5m,0,-140,34,680
1777584778.8646069,0.5m,0,-140,35,676
